REF_AREA,Reference area,DOMAIN,Domain,TIME_PERIOD,mean_normalized_measure
AUS,Australia,HSL_1,Income and wealth,2004,0.5649380733236556
AUS,Australia,HSL_1,Income and wealth,2005,0.5700893903378085
AUS,Australia,HSL_1,Income and wealth,2006,0.5793365374920176
AUS,Australia,HSL_1,Income and wealth,2007,0.6129722258786363
AUS,Australia,HSL_1,Income and wealth,2008,0.660273347033304
AUS,Australia,HSL_1,Income and wealth,2009,0.6362373737373738
AUS,Australia,HSL_1,Income and wealth,2010,0.6802544545368231
AUS,Australia,HSL_1,Income and wealth,2011,0.696820735444331
AUS,Australia,HSL_1,Income and wealth,2012,0.48578231778581893
AUS,Australia,HSL_1,Income and wealth,2013,0.6862075008762706
AUS,Australia,HSL_1,Income and wealth,2014,0.46957718876126336
AUS,Australia,HSL_1,Income and wealth,2015,0.6711572374317019
AUS,Australia,HSL_1,Income and wealth,2016,0.42569049787731617
AUS,Australia,HSL_1,Income and wealth,2017,0.6369805166438536
AUS,Australia,HSL_1,Income and wealth,2018,0.44676610219793883
AUS,Australia,HSL_1,Income and wealth,2019,0.6303796086564964
AUS,Australia,HSL_1,Income and wealth,2020,0.4339362421919159
AUS,Australia,HSL_1,Income and wealth,2021,0.6115640859128846
AUS,Australia,HSL_1,Income and wealth,2022,0.6115640859128846
AUS,Australia,HSL_1,Income and wealth,2023,0.6115640859128846
AUS,Australia,HSL_1,Income and wealth,2024,0.6115640859128846
AUS,Australia,HSL_10,Safety,2004,0.05181667894271581
AUS,Australia,HSL_10,Safety,2005,0.1913344668650179
AUS,Australia,HSL_10,Safety,2006,0.418384884074734
AUS,Australia,HSL_10,Safety,2007,0.41759842111394396
AUS,Australia,HSL_10,Safety,2008,0.4223118248002518
AUS,Australia,HSL_10,Safety,2009,0.09200125156821308
AUS,Australia,HSL_10,Safety,2010,0.42763906102740246
AUS,Australia,HSL_10,Safety,2011,0.42480047236457746
AUS,Australia,HSL_10,Safety,2012,0.4268846772549267
AUS,Australia,HSL_10,Safety,2013,0.423119171051564
