Reference area,Domain,TIME_PERIOD,mean_normalized_measure
Australia,Civic engagement,2006,1.0
Australia,Civic engagement,2007,1.0
Australia,Civic engagement,2008,0.9940666666666667
Australia,Civic engagement,2009,0.9881333333333333
Australia,Civic engagement,2010,0.9822
Australia,Civic engagement,2011,0.9710333333333333
Australia,Civic engagement,2012,0.9598666666666666
Australia,Civic engagement,2013,0.9487
Australia,Civic engagement,2014,0.9422333333333334
Australia,Civic engagement,2015,0.9357666666666666
Australia,Civic engagement,2016,0.9293
Australia,Civic engagement,2017,0.9528666666666666
Australia,Civic engagement,2018,0.9764333333333334
Australia,Civic engagement,2019,1.0
Australia,Civic engagement,2020,0.6959
Australia,Civic engagement,2021,0.3918
Australia,Civic engagement,2022,0.9527
Australia,Civic engagement,2023,0.6758
Australia,Environmental quality,2006,0.6932
Australia,Environmental quality,2007,0.7271
Australia,Environmental quality,2008,0.7553
Australia,Environmental quality,2009,0.6117
Australia,Environmental quality,2010,0.8496
Australia,Environmental quality,2011,0.8682
Australia,Environmental quality,2012,0.8711
Australia,Environmental quality,2013,0.7978
Australia,Environmental quality,2014,0.7956
Australia,Environmental quality,2015,0.867
Australia,Environmental quality,2016,0.8433
Australia,Environmental quality,2017,0.8251
Australia,Environmental quality,2018,0.8432
Australia,Environmental quality,2019,0.5598
Australia,Environmental quality,2020,0.9244
Australia,Environmental quality,2021,0.9161
Australia,Environmental quality,2022,0.7785
Australia,Environmental quality,2023,0.8845
Australia,Health,2006,0.8437
Australia,Health,2007,0.699
Australia,Health,2008,0.8375
Australia,Health,2009,0.8213
Australia,Health,2010,0.8196
Australia,Health,2011,0.6865
Australia,Health,2012,0.8199
Australia,Health,2013,0.8164
Australia,Health,2014,0.7134
Australia,Health,2015,0.7908
Australia,Health,2016,0.7813
Australia,Health,2017,0.6848
Australia,Health,2018,0.7261
Australia,Health,2019,0.7339
Australia,Health,2020,0.7605
Australia,Health,2021,0.7905
Australia,Health,2022,0.7006
Australia,Health,2023,0.7006
Australia,Housing,2006,0.6035
Australia,Housing,2007,0.6657
Australia,Housing,2008,0.7181
Australia,Housing,2009,0.8046
Australia,Housing,2010,0.6449
Australia,Housing,2011,0.7931
Australia,Housing,2012,0.6079
Australia,Housing,2013,0.5398
Australia,Housing,2014,0.4822
Australia,Housing,2015,0.4773
Australia,Housing,2016,0.4886
Australia,Housing,2017,0.4909
Australia,Housing,2018,0.4743
Australia,Housing,2019,0.4451
Australia,Housing,2020,0.4551
Australia,Housing,2021,0.4319
Australia,Housing,2022,0.4319
Australia,Housing,2023,0.4319
Australia,Income and wealth,2006,0.5793
Australia,Income and wealth,2007,0.613
Australia,Income and wealth,2008,0.6603
Australia,Income and wealth,2009,0.6362
Australia,Income and wealth,2010,0.6803
Australia,Income and wealth,2011,0.6968
Australia,Income and wealth,2012,0.4858
Australia,Income and wealth,2013,0.6862
Australia,Income and wealth,2014,0.4696
Australia,Income and wealth,2015,0.6712
Australia,Income and wealth,2016,0.4257
Australia,Income and wealth,2017,0.637
Australia,Income and wealth,2018,0.4468
Australia,Income and wealth,2019,0.6304
Australia,Income and wealth,2020,0.4339
Australia,Income and wealth,2021,0.6116
Australia,Income and wealth,2022,0.6116
Australia,Income and wealth,2023,0.6116
Australia,Knowledge and skills,2006,0.7933
Australia,Knowledge and skills,2007,0.7997333333333333
Australia,Knowledge and skills,2008,0.8061666666666667
Australia,Knowledge and skills,2009,0.8126
Australia,Knowledge and skills,2010,0.7326
Australia,Knowledge and skills,2011,0.6526
Australia,Knowledge and skills,2012,0.5726
Australia,Knowledge and skills,2013,0.6279333333333333
Australia,Knowledge and skills,2014,0.6832666666666667
Australia,Knowledge and skills,2015,0.7386
Australia,Knowledge and skills,2016,0.724
Australia,Knowledge and skills,2017,0.7094
Australia,Knowledge and skills,2018,0.6948
Australia,Knowledge and skills,2019,0.696225
Australia,Knowledge and skills,2020,0.69765
Australia,Knowledge and skills,2021,0.699075
Australia,Knowledge and skills,2022,0.7005
Australia,Knowledge and skills,2023,0.7005
Australia,Safety,2006,0.6337
Australia,Safety,2007,0.6395
Australia,Safety,2008,0.632
Australia,Safety,2009,0.908
Australia,Safety,2010,0.6146
Australia,Safety,2011,0.6023
Australia,Safety,2012,0.5807
Australia,Safety,2013,0.604
Australia,Safety,2014,0.5471
Australia,Safety,2015,0.5391
Australia,Safety,2016,0.5388
Australia,Safety,2017,0.5771
Australia,Safety,2018,0.5788
Australia,Safety,2019,0.5772
Australia,Safety,2020,0.5941
Australia,Safety,2021,0.5944
Australia,Safety,2022,0.5981
Australia,Safety,2023,0.5613
Australia,Social connections,2006,0.8487
Australia,Social connections,2007,0.9277
Australia,Social connections,2008,0.8976
Australia,Social connections,2009,0.8922
Australia,Social connections,2010,0.8868
Australia,Social connections,2011,0.8834
Australia,Social connections,2012,0.8762
Australia,Social connections,2013,0.8762
Australia,Social connections,2014,0.8691
Australia,Social connections,2015,0.8618
Australia,Social connections,2016,0.8618
Australia,Social connections,2017,0.8576
Australia,Social connections,2018,0.8782
Australia,Social connections,2019,0.8341
Australia,Social connections,2020,0.8184
Australia,Social connections,2021,0.8184
Australia,Social connections,2022,0.8096
Australia,Social connections,2023,0.8096
Australia,Subjective well-being,2006,0.7078
Australia,Subjective well-being,2007,0.6694
Australia,Subjective well-being,2008,0.6737
Australia,Subjective well-being,2009,0.6899
Australia,Subjective well-being,2010,0.7061
Australia,Subjective well-being,2011,0.7168
Australia,Subjective well-being,2012,0.7168
Australia,Subjective well-being,2013,0.7168
Australia,Subjective well-being,2014,0.7084
Australia,Subjective well-being,2015,0.7084
Australia,Subjective well-being,2016,0.7084
Australia,Subjective well-being,2017,0.7185
Australia,Subjective well-being,2018,0.7185
Australia,Subjective well-being,2019,0.678
Australia,Subjective well-being,2020,0.6604
Australia,Subjective well-being,2021,0.688
Australia,Subjective well-being,2022,0.6419
Australia,Subjective well-being,2023,0.6419
Australia,Work and job quality,2006,0.768
Australia,Work and job quality,2007,0.8016
Australia,Work and job quality,2008,0.8073
Australia,Work and job quality,2009,0.8013
Australia,Work and job quality,2010,0.8192
Australia,Work and job quality,2011,0.8195
Australia,Work and job quality,2012,0.8224
Australia,Work and job quality,2013,0.813
Australia,Work and job quality,2014,0.8205
Australia,Work and job quality,2015,0.724
Australia,Work and job quality,2016,0.8089
Australia,Work and job quality,2017,0.7653
Australia,Work and job quality,2018,0.7826
Australia,Work and job quality,2019,0.7695
Australia,Work and job quality,2020,0.7635
Australia,Work and job quality,2021,0.811
Australia,Work and job quality,2022,0.7895
Australia,Work and job quality,2023,0.7968
Australia,Work-life balance,2006,0.4992
Australia,Work-life balance,2007,0.4992
Australia,Work-life balance,2008,0.4992
Australia,Work-life balance,2009,0.4992
Australia,Work-life balance,2010,0.4992
Australia,Work-life balance,2011,0.4992
Australia,Work-life balance,2012,0.4992
Australia,Work-life balance,2013,0.4992
Australia,Work-life balance,2014,0.4992
Australia,Work-life balance,2015,0.4992
